Training...

EPOCH 146/160: train_acc=0.995, valid_acc=0.959, LR=0.00000006, global_step=292320
EPOCH 147/160: train_acc=0.994, valid_acc=0.955, LR=0.00000006, global_step=294336
EPOCH 148/160: train_acc=0.994, valid_acc=0.959, LR=0.00000006, global_step=296352
EPOCH 149/160: train_acc=0.994, valid_acc=0.961, LR=0.00000006, global_step=298368
EPOCH 150/160: train_acc=0.994, valid_acc=0.956, LR=0.00000006, global_step=300384
EPOCH 151/160: train_acc=0.994, valid_acc=0.960, LR=0.00000003, global_step=302400
EPOCH 152/160: train_acc=0.994, valid_acc=0.959, LR=0.00000003, global_step=304416
EPOCH 153/160: train_acc=0.995, valid_acc=0.959, LR=0.00000003, global_step=306432
EPOCH 154/160: train_acc=0.994, valid_acc=0.956, LR=0.00000003, global_step=308448
EPOCH 155/160: train_acc=0.994, valid_acc=0.958, LR=0.00000003, global_step=310464
EPOCH 156/160: train_acc=0.994, valid_acc=0.957, LR=0.00000003, global_step=312480
EPOCH 157/160: train_acc=0.994, valid_acc=0.955, LR=0.00000003, global_step=314496
EPOCH 158/160: train_acc=0.994, valid_acc=0.959, LR=0.00000003, global_step=316512
EPOCH 159/160: train_acc=0.994, valid_acc=0.958, LR=0.00000003, global_step=318528
EPOCH 160/160: train_acc=0.995, valid_acc=0.958, LR=0.00000003, global_step=320544

Model saved

Best train accuracy=0.995 at epoch=104
Best valid accuracy=0.964 at epoch=102
